id;fecha_inicio;fecha_final;nombre;precio
1;2019-10-13T12:34:00;2019-10-13T23:51:32;uniform PCI back up;95307
2;2019-10-13T12:51:29;2019-10-14T03:11:58;Venezuela Wisconsin;98033
3;2019-10-13T14:39:55;2019-10-14T09:19:45;functionalities;19091
4;2019-10-13T14:42:37;2019-10-14T04:41:38;Bedfordshire;37268
5;2019-10-13T21:46:27;2019-10-14T01:39:53;calculating Intranet Ergonomic Concrete Soap;67114
6;2019-10-13T11:22:35;2019-10-14T02:31:48;Open-architected;29529
7;2019-10-13T14:04:50;2019-10-14T03:23:46;calculating Metal array;55281
8;2019-10-14T04:05:28;2019-10-14T04:01:16;schemas Synergistic Personal Loan Account;8159
9;2019-10-13T22:51:55;2019-10-14T11:00:46;Auto Loan Account olive;7094
10;2019-10-13T18:17:25;2019-10-14T01:36:53;Unbranded Fresh Pants Tools California;43847
