id;num_pedido;fecha_pedido;precio;observaciones_precio
1;4522;2019-10-13T12:04:10;32533;scale interactive generating
2;35675;2019-10-13T11:58:17;28093;Faroe Islands Plastic
3;80219;2019-10-14T07:10:15;7455;Administrator
4;77224;2019-10-14T01:39:37;19871;Books
5;81546;2019-10-14T06:21:54;70685;application quantify Unbranded Plastic Tuna
6;11586;2019-10-13T13:10:42;86310;Investment Account archive Fantastic Plastic Chicken
7;32518;2019-10-13T19:09:19;72960;withdrawal COM
8;47221;2019-10-14T01:56:49;11959;bus synthesize Idaho
9;77096;2019-10-14T04:59:30;49379;Poland
10;42754;2019-10-14T08:28:33;2541;Intelligent Outdoors
