id;preparado;hora_inicio;hora_finalizacion
1;true;2019-10-13T19:00:32;2019-10-14T10:16:29
2;false;2019-10-13T23:57:47;2019-10-14T07:24:59
3;true;2019-10-13T11:34:24;2019-10-14T04:15:38
4;true;2019-10-13T20:57:27;2019-10-13T14:29:16
5;false;2019-10-14T05:07:53;2019-10-14T10:14:28
6;false;2019-10-13T15:23:43;2019-10-14T03:51:33
7;false;2019-10-13T22:14:51;2019-10-14T08:05:17
8;false;2019-10-13T22:36:13;2019-10-13T15:16:07
9;true;2019-10-14T04:37:13;2019-10-14T05:57:28
10;true;2019-10-13T20:11:17;2019-10-14T00:09:47
